continent,country,date,total_cases_per_million,total_deaths_per_million,population,population_density
Africa,South Sudan,2020/11/1,259.52,5.181,11193729,
Europe,Spain,2020/11/1,25359.502,767.365,46754783,93.105
Asia,Sri Lanka,2020/11/1,497.963,0.934,21413250,341.955
Africa,Sudan,2020/11/1,313.916,19.088,43849269,23.258
South America,Suriname,2020/11/1,8869.244,189.215,586634,3.612
Africa,Swaziland,2020/11/1,5100.141,100.848,1160164,79.492
Europe,Sweden,2020/11/1,12777.458,594.201,10099270,24.718
Europe,Switzerland,2020/11/1,17762.54,235.135,8654618,214.243
Asia,Syria,2020/11/1,327.302,16.457,17500657,
Asia,Taiwan,2020/11/1,23.429,0.294,23816775,
Asia,Tajikistan,2020/11/1,1155.107,8.598,9537642,64.281
Africa,Tanzania,2020/11/1,8.521,0.352,59734213,64.699
Asia,Thailand,2020/11/1,54.212,0.845,69799978,135.132
Asia,Timor,2020/11/1,22.754,,1318442,87.176
Africa,Togo,2020/11/1,281.565,6.885,8278737,143.366
North America,Trinidad and Tobago,2020/11/1,4050.044,76.456,1399491,266.886
Africa,Tunisia,2020/11/1,5171.078,114.057,11818618,74.228
Asia,Turkey,2020/11/1,4450.69,121.557,84339067,104.914
North America,Turks and Caicos Islands,2020/11/1,18182.757,154.967,38718,37.312
Africa,Uganda,2020/11/1,273.168,2.427,45741000,213.759
Europe,Ukraine,2020/11/1,8859.998,164.541,43733759,77.39
Asia,United Arab Emirates,2020/11/1,13409.872,50.049,9890400,112.442
Europe,United Kingdom,2020/11/1,14902.335,685.782,67886004,272.898
North America,United States,2020/11/1,27571.867,696.538,331002647,35.608
North America,United States Virgin Islands,2020/11/1,13177.174,201.105,104423,306.48
South America,Uruguay,2020/11/1,899.322,16.697,3473727,19.751
Asia,Uzbekistan,2020/11/1,2003.484,16.971,33469199,76.134
Europe,Vatican,2020/11/1,32138.443,,809,
South America,Venezuela,2020/11/1,3235.799,28.063,28435943,36.253
Asia,Vietnam,2020/11/1,12.123,0.36,97338583,308.127
Oceania,Wallis and Futuna,2020/11/1,88.921,,11246,
Africa,Western Sahara,2020/11/1,1282.373,1.674,597330,
Asia,Yemen,2020/11/1,69.168,20.117,29825968,53.508
Africa,Zambia,2020/11/1,893.823,18.984,18383956,22.995
Africa,Zimbabwe,2020/11/1,562.608,16.282,14862927,42.729

